년도	가수	제목	남녀	장르	최고순위	작사가	작곡가	소속사	가사
20160527	어반자카파	널 사랑하지 않아	all	발라드	10	권순일 (어반자카파)	권순일 (어반자카파)	(주)메이크어스엔터테인먼트	무슨 말을 할까 어디서부터 어떻게 고개만 떨구는 나 그런 날 바라보는 너 그 어색한 침묵 널 사랑하지 않아 너도 알고 있겠지만 눈물 흘리는 너의 모습에도 내 마음 아프지가 않아 널 사랑하지 않아 다른 이유는 없어 미안하다는 말도 용서해 달란 말도 하고 싶지 않아 그냥 그게 전부야 이게 내 진심인 거야 널 사랑하지 않아 널 사랑하지 않아 널 사랑하지 않아 너도 알고 있겠지만 눈물 흘리는 너의 모습에도 내 마음 아프지가 않아 널 사랑하지 않아 다른 이유는 없어 미안하다는 말도 용서해 달란 말도 하고 싶지 않아 그냥 그게 전부야 이게 내 진심인 거야 널 사랑하지 않아 널 사랑하지 않아 널 사랑하지 않아 다른 이유는 없어 미안하다는 말도 용서해 달란 말도 하고 싶지 않아 그냥 그게 전부야 이게 내 진심인 거야 널 사랑하지 않아 널 사랑하지 않아
20160601	EXID	L.I.E	female	댄스	27	LE (EXID)	LE (EXID)	바나나컬쳐	LIE LIE LIE LIE EH EH 이 밤에 대체 어디 연락해 참 아는 여자 동생들 많네 GO AWAY 내 친구가 널 길에서 봤대 네가 내게 잔다고 한 그때 GO AWAY LIE LIE LIE LIE EH EH 혼자 방 안에서 한참 울고 있는데 밤새 풀리지 않는 기분때문에 그지같아 나 어떡해 어떡해 도저히 더는 참을 수 없는데 BABY I Know I Know I Know 네 거짓말 이제 네가 숨 쉬는 것도 싫어 스치는 것조차 난 싫어 Baby Baby know BABY I Know I Know 널 생각할수록 더 나를 더 미치게 만드는 너의 LIE LIE LIE LIE EH EH LIE LIE LIE LIE LIE LIE LIE LIE EH EH LIE LIE LIE LIE EH EH NO NO BOY NO MORE 더는 못 숨어 Zoomer 꼭꼭 더 숨어 다 찾아낼 걸 널 Sooner 또 배우네 난 시원해 네가 다 지어낸 네 가짜 소설 아 무서워 Overdoser man 내 박수 보낼게 Clap clap clap 넌 남우주연상 타고도 남을 연기했네 넌 마치 흡연자 모두가 피해 더 지나치게 벌 받아야지 넌 싸 짐 싹 다 챙겨나가 더 이상 별 볼일 없으니까 BABY I Know I Know I Know 네 거짓말 이제 네가 숨 쉬는 것도 싫어 스치는 것조차 난 싫어 Baby Baby know BABY I Know I Know 널 생각할수록 더 나를 더 미치게 만드는 너의 LIE LIE LIE LIE EH EH LIE LIE LIE LIE EH EH 너 죽을 때까지 이렇게 살다가 지옥 가길 기도해 GO TO HELL GO AWAY OH BABY 그대여 너는 태어나질 말았어야 해요 나 어떡해 어떡해 미치도록 꼴도 보기 싫은데 BABY BABY I Know I Know I Know 네 거짓말 이제 네가 숨 쉬는 것도 싫어 스치는 것조차 난 싫어 Baby Baby know BABY I Know I Know 널 생각할수록 더 나를 더 미치게 만드는 너의 LIE LIE LIE LIE EH EH LIE LIE LIE LIE LIE LIE LIE LIE EH EH LIE LIE LIE LIE EH EH LIE LIE LIE LIE EH EH LIE LIE LIE LIE
20160609	EXO	Monster	male	댄스	6	딥플로우	Rodnae `Chikk` Bell	(주)SM엔터테인먼트	She got me gone crazy 왜 심장이 뛰니 넌 아름다워 나의 Goddess 닫혀있지 Yeah yeah 두드릴 테니 날 들여보낼래 감춰진 스릴을 줄게 눈동자의 호기심에 이미 넌 빠져들었고 Don't be afraid Love is the way Shawty I got it You can call me monster I’m creeping in your heart babe 뒤집고 무너트리고 삼켜 그래 널 훔쳐 탐닉해 널 망쳐 놓을거야 네 맘속에 각인된 채 죽어도 영원히 살래 Come here girl You call me monster 네 맘으로 들어갈게 She got me gone crazy 왜 심장이 뛰니 내가 좀 성격이 급해 그닥 온순하지 못해 널 미워했어 하지만 너를 원해 That’s right my type 가슴은 거짓말 안 해 시작됐어 내 안에서 위험한 신호를 보내 Don’t be afraid Love is the way Shawty I got it You can call me monster I’m creeping in your heart babe 뒤집고 무너트리고 삼켜 그래 널 훔쳐 탐닉해 널 망쳐 놓을거야 네 맘속에 각인된 채 죽어도 영원히 살래 Come here girl You call me monster 네 맘으로 들어갈게 전율이 와 네 삶을 다 뒤집어 버리는게 I’m sorry you make me so crazy you know you do 모두 날 두려워해 so I’m untouchable man 근데 네 진심은 왜 결국에 날 거부 못해 숨어서 훔쳐보다가 깜짝 놀라지 Who 네겐 안티노미 같은 난 네 존재의 일부 How we do 날 그대로 받아들여 너의 두려운 걱정은 접어두렴 네가 견딜만한 고통을 누려 더 깊이 빠져들어 널 맘대로 가지고 놀아 내 손에서 맘껏 놀아 도망가지마 넌 영원히 맴돌아 You can call me monster I’m creeping in your heart babe 뒤집고 무너트리고 삼켜 그래 널 훔쳐 탐닉해 널 망쳐 놓을거야 네 맘속에 각인된 채 죽어도 영원히 살래 Come here girl You call me monster 네 맘으로 들어갈게 Creeping creeping creeping Creeping creeping creeping You Creeping
20160609	EXO	Lucky One	male	댄스	19	장여진	Adrian Mckinnon	(주)SM엔터테인먼트	Oh 태양이 뜬다 널 찾아줄 지도를 들고 좌표를 따라 나서는 항로 No matter 저 은빛 나침반은 너를 향할 테니 너를 닮은 하늘은 아름다워 오늘도 오늘도 이대로 넌 눈부셔 익숙한 듯 낯선 길 휘어버릴게 너와 나의 평행선 너머 너머 I don’t mind 큰 파도에 밀려 이 항해의 끝에 내가 휘몰아치는 순간 내 세상에 멈춰선 넌 나의 Only one 너를 발견한 순간 더 찬란히 빛나는 I’ll be the lucky one 너와 나 Living it up 이곳에 Just living it up Keep on coming Wow wow wow wow 같은 시간 속에 Oh 하나된 그 순간 We’ll be the lucky ones Girl Oh girl 비밀스럽게 숨겨둔 너의 고백 Just tell me right now 다가갈게 한 걸음 한 걸음 네 곁에 baby 오늘도 오늘도 절대로 Never go back 오직 나만 아는 Rule 바꿔버릴게 너와 나의 평행선 너머 너머 I don’t mind 큰 파도에 밀려 이 항해의 끝에 내가 휘몰아치는 순간 내 세상에 멈춰선 넌 나의 Only one 너를 발견한 순간 더 찬란히 빛나는 I’ll be the lucky one 너와 나 Living it up 이곳에 Just living it up Keep on coming Wow wow wow wow 같은 시간 속에 Oh 하나된 그 순간 We’ll be the lucky ones 수많은 사람 속 나의 Lover 운이 좋게 찾은 네 잎 Clover 올 것 같아 내게로 너란 행운도 멋지지 누가 뭐라해도 널 알아갈수록 yeah let’s go 공존할 수 없는 곳은 없어 넌 나의 only one 난 너의 lucky one cause I I I 휘몰아치는 순간 내 세상에 멈춰선 넌 나의 Only one 너를 발견한 순간 더 찬란히 빛나는 I’ll be the lucky one 너와 나 Living it up 이곳에 Just living it up Keep on coming Wow wow wow wow 같은 시간 속에 Oh 하나된 그 순간 We’ll be the lucky ones I am the lucky one I am the lucky one
20160609	정키	바라지 않아 (Feat. 소정 Of 레이디스 코드)	male	R&B/Soul	28	정키	정키	도우즈 레코즈	창 밖에 비가 내릴 때면 옛 생각에 잠기곤 해 나 헤어졌다는 게 실감이 안나서 홀로 남았단 게 서투른 오늘 같은 밤 벌써 니가 그리워진 건지 아님 괜히 외로웠는지 어질어진 맘은 식을 줄 모르고 하루하루가 왜 힘들기만 하는지 처음 만나 설렜던 그 날처럼 뜨겁게 안았던 그 날처럼 이젠 두 번 다시 돌릴 수 없는 걸 우린 잘 알잖아 더는 바라지 않아 기억하니 쉬웠던 시작이 늘 난 두려웠었다고 사랑하니까 좋았으니까 You 널 울리진 않을까 아무것도 할 수 없어 힘들기만 했는데 처음 만나 설렜던 그 날처럼 뜨겁게 안았던 그 날처럼 이젠 두 번 다시 돌릴 수 없는 걸 우린 잘 알잖아 더는 바라지 않아 다 지난 일인 걸 알면서도 왜 왜 막연한 바램에 끝내 널 부르는지 처음 만나 설렜던 그 날처럼 뜨겁게 안았던 그 날처럼 예전처럼 곁에만 있어줘 Oh ma Baby 사랑할 수 있어 다시 한 번 내게 기회를 준다면 더는 바라지 않아 처음 만나 설렜던 그 날처럼 뜨겁게 안았던 그 날처럼 Baby 뜨거웠던 날처럼 사랑할 수 있어 다시 한 번 내게 기회를 준다면 더는 바라지 않아 이젠 알 것 같아 내겐 너 뿐 이란 걸
20160609	EXO	Heaven	male	랩/힙합	29	민연재	김태성	(주)SM엔터테인먼트	Hello angel 그림 같아 하늘을 보면 너만 보여 City street lights 불이 꺼지고 달이 사라져도 눈이 부신 건 하늘이 떨어뜨린 별 그게 바로 너니까 웃음이 나와 왠지 매일 밤 눈을 감아도 잠이 안 와 네 생각에 또 밤을 새 나 빛나는 네 미소가 숨쉬게 해 날 아마도 넌 넌 등 뒤에다 날개를 숨기며 지낼 걸 누가 봐도 넌 나만의 천사 너와 함께면 날아 갈 수 있어 나 너에게 저 하늘은 모든 것을 다 주고 나에게 이 세상은 너를 준 거야 내 곁에 너를 두고 하늘로 못 도망가게 너를 잡아둘래 너를 가둬둘래 널 안아줄게 Hello angel 그림 같아 하늘을 보면 너만 보여 City street lights 불이 꺼지고 달이 사라져도 눈이 부신 건 하늘이 떨어뜨린 별 그게 바로 너니까 그게 바로 너니까 She says 쉽게 쉽게 장난처럼 예쁘다는 말은 말아줘 이불처럼 좀 더 따듯하게 안아줘 처음처럼 변함없이 곁에 남아줘 I'll be 항상 상상 하던 너와 함께 영원할 수 있다면 나 뭐든지 할게 꿈이라면 쭉 깨지 않길 And I just wanna know 너의 매일 너에게 저 하늘은 모든 것을 다 주고 나에게 이 세상은 너를 준거야 네 맘 다치지 않게 절대 흠이 가지 않게 너를 지켜줄게 너를 위해 살게 약속할게 Hello angel 그림 같아 하늘을 보면 너만 보여 City street lights 불이 꺼지고 달이 사라져도 눈이 부신 건 하늘이 떨어뜨린 별 그게 바로 너니까 가장 화려한 천국의 보석도 이토록 눈부신 너보다는 못할 걸 멀어지지 말아줘 Baby won't you stay 언제까지 너만 사랑할게 Hello angel 그림 같아 하늘을 보면 너만 보여 City street lights 불이 꺼지고 달이 사라져도 눈이 부신 건 하늘이 떨어뜨린 별 그게 바로 너니까 그게 바로 너니까
20160617	보아 (BoA)	No Matter What	female	일렉트로니카	15	빈지노 (Beenzino)	Johan Gustafson	(주)SM엔터테인먼트	No matter what we do 어디에서라도 지구를 한 바퀴 돌아온다 해도 우리 둘만의 light 그 힘을 난 믿어 No matter what we do No matter what we do 소원을 물어본다면 지키고 싶은 단 하나 허락한다면 영원히 욕심내고 싶은 걸 햇살이 따스하게 내 머리 위를 감싸고 바람은 시원하게 내 두 볼을 스치네 말로는 설명할 수가 없는 복잡한 기분 해답은 너 No matter what No matter what we do 어디에서라도 지구를 한 바퀴 돌아온다 해도 우리 둘만의 light 그 힘을 난 믿어 No matter what we do No matter what we do No matter what 세상을 담은 하늘에 우리를 그려 넣고 싶어 허락한다면 계속 빠져들어 가고파 에메랄드 빛을 닮은 너의 깊은 눈동자 즐거운 대화를 이끄는 너의 입술도 살며시 닿는 촉감의 부드러운 두 손을 기억할래 No matter what No matter what we do 어디에서라도 지구를 한 바퀴 돌아온다 해도 우리 둘만의 light 그 힘을 난 믿어 No matter what we do No matter what we do No matter what it takes 난 너와 함께할 때 비로소 완성되지 나는 너 아니면 안돼 When I see you right there 너가 반이어도 반대 When I see you right next to me I feel like I'm flying I feel like I'm alive when I'm with you 너랑 다툰 다음엔 난 풀 죽었어 심할 땐 가끔 저울도 들기도 했지만 진심은 아니었어 미안 How about How about How bout u 너도 나와 같지 똑같다고 말해 줘 마치 거울 보듯 No matter what we do 난 너가 아님 미완성같아 No matter what No matter what No matter what 사랑이라 하면 Let's keep it racing 다툼이라 하면 But we gotta stop now No matter what we do 우리 둘만의 rule No matter what we do No matter what we do
20160618	Zion.T	신사 ($insa)	male	랩/힙합	19	서출구	dress	THE BLACK LABEL	신사 숙녀 여러분 신사 홍대 어디든 이 노래가 흘러 나오겠지 Huh 뭔가 신나 신나 내 기분 다들 인사 인사 나를 보면 우린 뛰지 않아 뛰지 않아 Son 아무리 급하다 해도 품위를 지켜야지 난 내가 최고라고 믿어 아마 진짜일수도 있어 거짓말 탐지기도 하나 해보고도 싶어 생각대로 행동하고 믿어보는 타입 Uh 래퍼들이 밤새 연습하는 Flow는 Mine 누구에겐 개 또한 장하게 가족의 뒤에 가끔 여자들이 보내는 DM I will shine 모두 Stop 하고 술렁일때까지 Uh 모델들이 와서 내게 술 먹일 때까지 그때까지 연습해야지 위너의 자세 갈까봐 YG 누가 건들 때는 침착하게 Hol' up ho hol' up What‘s your name man 기억이 안 나는 게 그게 내 탓이냐 왜 이래 야 새벽인데 꺼져봐 Uh Pay attention 그냥 숙녀만 Woh Hol' up ho hol' up What’s your name girl 좀 더 붙어봐 난 없어 촌스러운 체인도 신사 숙녀 여러분 신사 홍대 어디든 이 노래가 흘러 나오겠지 Huh 뭔가 신나 신나 내 기분 다들 인사 인사 나를 보면 우린 뛰지 않아 뛰지 않아 Son 아무리 급하다 해도 품위를 지켜야지 날 간지로 따지면 비머 E30 Hot 뜨거 난 여자들의 시선이 Uh 비싼 행복들을 전부 다 사길 원해 술은 안 하지만 매일 기분 좋게 건배 Money Power Respect I want it 내 이마 Line 처럼 Rhyme은 깔끔해 호박씨 까는 놈들아 You wanna play rough Ok say hello to my lil friend woh 숙녀를 대할 땐 난 여름 같아서 숙녀 맘을 녹여 Like ice cream 비 오는 날씨엔 귀찮아 우산은 절대로 난 뛰지도 않아 Rolex gold chain BBS Wheels boy 토니 몬타나 난 화를 못 참아 Boy 내 위치가 꼭대기더라도 변하지 않는 태도 난 항상 진실을 말해 내가 거짓말을 할 때도 신사 숙녀 여러분 신사 홍대 어디든 이 노래가 흘러 나오겠지 Huh 뭔가 신나 신나 내 기분 다들 인사 인사 나를 보면 우린 뛰지 않아 뛰지 않아 Son 아무리 급하다 해도 품위를 지켜야지 쏘맥을 말어 And we call it 샴페인 My family my crew we share the same pain 손이 더러워져도 상관 없지 형제들과 악수하고 한 발을 절며 걷지 Riding with it top down 술은 쏟지 않아 향기없는 여자의 뒤는 쫓지 않아 아버지께 배웠지 인마 원래 신사는 고집을 꺾지 않아 Dancing in the hotel too many lies Too many stories that I don’t tell 준비를 하고서 계산하듯이 난 오는 밤들을 새지 No worries 금방 올 테니 Now go to sleep my baby 영화 같은 인생 필름 끊어질 때까지 마시고 사랑해 우린 영원할 것 같이 너도 알지 우리가 걷는 방식 내 삶을 사는데 자존심은 안 팔지 신사 숙녀 여러분 신사 홍대 어디든 이 노래가 흘러 나오겠지 Huh 뭔가 신나 신나 내 기분 다들 인사 인사 나를 보면 우린 뛰지 않아 뛰지 않아 Son 아무리 급하다 해도 품위를 지켜야지 신사 숙녀 여러분 신사 홍대 어디든 이 노래가 흘러 나오겠지 Huh 뭔가 신나 신나 내 기분 다들 인사 인사 나를 보면 우린 뛰지 않아 뛰지 않아 Son 아무리 급하다 해도 품위를 지켜야지
20160620	백예린	Bye bye my blue	female	R&B/Soul	8	백예린	구름	블루바이닐	난 왜 니가 가진 것들을 부러워하는 걸까 감당하지도 못할 것들을 손에 꼭 쥐고서 여기서 무얼 얼만큼 더 나아지고픈 걸까 너도 똑같은 거 다 아는데 내가 이기적인 걸까 많이 가져도 난 아직 너 같진 않아 아픈 기억들 위로 매일 혼자 걸어 난 아플걸 알아도 자꾸 마음이 가나 봐 그래서 자꾸 네게 욕심을 내나 봐 나의 나의 나의 그대여 이름만 불러봐도 맘이 벅차요 난 더욱 더욱 더욱 크게 되어 널 가득 안고 싶고 그래요 하고 싶은 말을 하는 게 불안해서 너를 밀어내고서 불편하게 만들어 듣고 싶은 말이 너무나 많은데도 바라지를 못하고 마음 아프게 기다려 나의 나의 나의 그대여 이름만 불러봐도 맘이 벅차요 난 더욱 더욱 더욱 크게 되어 널 가득 안고 싶고 그래요
20160621	씨스타	I Like That	female	댄스	2	블랙아이드 필승	블랙아이드 필승	스타쉽 엔터테인먼트	남자는 똑같다는 게 그 말이 이제 이해돼 감이 오질 않아 너란 놈 이젠 있다 없다 왔다 갔다 하는 너를 내가 바꿀 수 있다 믿었던 게 나 그게 참 바보 같아 오 내 걱정은 하지마 너 하나 없다고 너만 사라지면 돼 그거면 충분해 나몰래 찌르고 다닌 그 여자들이나 잘해줘 니가 좋아 널 사랑해 너의 그 말 웃기지마 넌 나 하나론 안돼 넌 원래 그런 놈이야 널 본걸 신께 원망해 니가 좋아 ooh ooh ooh ooh ooh 널 사랑해 ooh ooh ooh ooh ooh 내가 올해들은 말 중에 그 말이 최고야 I like that Ooh ooh ooh ooh ooh ooh ooh ooh I like smile Ooh ooh ooh ooh ooh ooh ooh ooh I like that Ooh ooh ooh ooh ooh ooh ooh ooh I like smile Ooh ooh ooh ooh ooh ooh ooh ooh I like that 저리가 이제가 집에 가 약해지게 하지마 돌아가 제발제발 제발제발 제발 가버려 술이나 마셔 우유를 마시던지 그 잘난 입으로 어떤 여잘 꼬시던지 Play boy 넌 원래 유명인사 널 몰라본 내가 미친 거야 내 걱정은 하지마 제발 웃기지마 너만 사라지면 돼 그걸론 부족해 밤새워 찌르고 다닌 그 여자들에게 가면 돼 니가 좋아 널 사랑해 너의 그 말 웃기지마 넌 나 하나론 안돼 넌 원래 그런 놈이야 널 본걸 신께 원망해 니가 좋아 ooh ooh ooh ooh ooh 널 사랑해 ooh ooh ooh ooh ooh 내가 올해들은 말 중에 그 말이 최고야 I like that I'm so fine I'm so fine 나를 생각한다면 Don't touch me I'm so fine I'm so fine 나를 생각한다면 Don't touch me 이제는 누굴 사랑하고 이젠 누굴 믿는다는 게 쉽지 않을 것 같아 너 너 땜에 니가 좋아 널 사랑해 너의 그 말 웃기지마 넌 나 하나론 안돼 넌 원래 그런 놈이야 널 본걸 신께 원망해 니가 좋아 ooh ooh ooh ooh ooh 널 사랑해 ooh ooh ooh ooh ooh 내가 올해들은 말 중에 그 말이 최고야 I like that Ooh ooh ooh ooh ooh ooh ooh ooh I like smile Ooh ooh ooh ooh ooh ooh ooh ooh I like that Ooh ooh ooh ooh ooh ooh ooh ooh I like smile Ooh ooh ooh ooh ooh ooh ooh ooh I like that
20160621	폴킴	비	male	R&B/Soul	30	폴킴	폴킴	뉴런뮤직	비가 내리다 말다 우산을 챙길까 말까 tv엔 맑음이라던데 네 마음도 헷갈리나봐 비가 또 내리다 말다 하늘도 우울한가봐 비가 그치고나면 이번엔 내가 울것만같아 Strumming down to my memories 지직거리는 라디오에선 또 뻔한 love song 잊고있던 아픈 설레임 널 생각나게해 우리 걷던 이길위에 흘러나오던 멜로디 흥얼거렸었지 넌 어디있니 하늘은 이렇게 맑은데 비에 젖은 내 마음을 따뜻하게도 비춰주던 너는 나에게 햇살같아 그런널 왜 난 보냈을까 Good bye So hard to lose but easy to repeat 푹 숙인 얼굴 날 알아봤을까 I'm losing my breathe 잊고 싶던 아픈 기억들 날 더 힘들게해 시간가는 줄도 모르고 나눴던 수많은 밤과 사랑노래 꿈보다 달콤했지 쉽게 포기한건아닌지 우연히널 마주친 순간 내 마음 들킬까봐 뒤돌아섰어 널 잡았다면 그런 널 왜 난 보냈을까 우리 걷던 이길위에 흘러나오던 멜로디 흥얼거렸었지 넌 어디있니 하늘은 이렇게 맑은데 비에 젖은 내 마음을 따뜻하게도 비춰주던 너는 나에게 햇살같아 그런널 왜 난 보냈을까 Good bye
20160628	태연 (TAEYEON)	Why	female	댄스	21	조윤경	Rodnae `Chikk` Bell	(주)SM엔터테인먼트	Why  Oh yeah yeah Oh 언젠가는 내 두 발이 Oh 닿는 대로 이끌리는 시선을 뺏겨버린 대로 가볍게 걸어갈 낯선 곳을 그리다 또 결국엔 허전한 긴 한숨에 멈춰 Why Why 돌아서 또 넌 Why Why 꿈만 가득해 지금 떠난다면 Good Good Good yeah 만나게 될 모든 건 Great Great yeah 가벼워진 맘이 Work Work baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why 나침반 위 돌아가던 바늘이 멈춘 곳에 가득 핀 이름 모를 꽃잎이 널 위해 끌어당긴 빛이 담긴 풍경 속에 어서 뛰어들어 나보다 자유롭게 더 Why Why Why 괜히 미뤄 왔던 날 많았던 걱정이 모두 다 사라진 tonight yeah 바람 불어오면 Good Good Good yeah 펼쳐지는 모든 건 Great Great yeah 달라지는 맘이 Work Work baby 이미 이미 눈 앞에 아른아른대는데 지금 떠난다면 Good Good Good yeah 만나게 될 모든 건 Great Great yeah 가벼워진 맘이 Work Work baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why 쫓아가기도 벅차 숨이 찬 세상이 전부는 아냐 하루 종일 걸어도 똑같은 풍경은 절대 보이지 않아 하얀 종이에 적어 본 Why 잉크처럼 번지는 맘 I'm falling I'm falling I'm falling to you 바람 불어오면 Good Good Good yeah 펼쳐지는 모든 건 Great Great yeah 달라지는 맘이 Work Work baby 이미 이미 눈 앞에 아른아른대는데 지금 떠난다면 Good Good Good yeah 만나게 될 모든 건 Great Great yeah 가벼워진 맘이 Work Work baby 이미 이미 눈 앞에 아른아른대는데 망설여 Why
20160628	태연 (TAEYEON)	Starlight (Feat. DEAN)	female	발라드	23	이스란	MZMC	(주)SM엔터테인먼트	Love is amazing ah You are my starlight 내 맘을 비춰 함께 있으면 온종일 꿈꾸는 기분 You are my starlight 참 행복해져 선물 같아 너란 사랑 혼자가 익숙했던 회색 빛의 나의 하루에 사뿐히 다가와선 날 두드린 그 날을 기억해 빛처럼 날 비춰 어둠에서 나를 깨우곤 닫힌 맘의 창을 열어 줬어 내 눈에 비친 잔뜩 찡그린 Yeah 어색한 얼굴 뒤로 조금씩 웃어보던 너 사랑스러워 참을 수 없었지 Oh 기적처럼 발견한 넌 늘 미소 짓게 해 You are my starlight 내 맘을 비춰 함께 있으면 온종일 꿈꾸는 기분 You are my starlight 참 행복해져 선물 같아 너란 사랑 아무런 의미 없던 아주 사소한 일상들도 처음 본 세상처럼 새로운 느낌 난 매일 놀라 어느새 날 바꿔 텅 비어 있던 내 얼굴 위로 새로운 날 그려 줘 You are my starlight You You You You You You 내 맘을 비춰 함께 있으면 온종일 꿈꾸는 기분 You are my starlight 참 행복해져 Oh No No No No 선물 같아 선물 같아 너란 사랑 맘이 흐린 날에도 맑게 개어 너를 본 순간 오직 너만으로 충분해 널 그저 바라만 봐도 입가에 번지는 기쁨 이토록 날 웃게 할 한 사람 너뿐이야 You are my starlight 감출 수 없어 함께 있으면 내 맘이 춤추는 기분 You are my starlight 참 감사해져 꿈만 같아 너란 사랑 You are my starlight My emotion you feel me 별처럼 빛나는 나를 봐 Oh 매일 깨달아 You are my starlight Yeah Oh Oh Yeah Yeah My baby baby
20160629	Zion.T	쿵	male	랩/힙합	5	Zion.T	서원진	THE BLACK LABEL	"제일 먼저 기억나는 건 새까만 벽 앞에 걸려있던 마이크 30000원  어머니가 쓰시던 노트북에 깔았던 빨간색 마름모 그 때 부터였지 열일곱, 열여덟 열일곱, 열여덟  Dynamic Duo, 1tym - hot 뜨거 Oh yeah, oh shit 이런 건 처음 들어 쿵쿵쿵 옆집 사람들은 날 싫어해 ""시끄러워 게임 그만해 컴퓨터 끄고 공부나 해"" (게임 아닌데)  어 지금 들리는 박수 소리는 가끔 어색해 쿵쿵 그때 난 짝짝 소리를 듣게 될 줄은 Gray Loco Crush Elo 다 잘지내?  각자 자리에서 빛나고 있지 존나 멋지게 가끔 소주 한 잔 땡길 때 못 보는 게 씁쓸해 근데 씁쓸해도 어쩔 수 없지 갈 길이 멀기에 조명이 꺼지면 우린 어디에 있을까 그게 궁금해  안경이 무거워 조명이 너무 밝어 다들 부담스러워 날 그렇게 보지말어 난 여전해  난 여전히 녹음실에 서서 밤새고 노래를 쓰고있지 I'm still on my way 여전히 여기 이 자리 내 가족 내 친구 우리동네 이 거리 Still on my way 난 바뀐게 없지 거의 없지  쿵쿵 내 심장 소리 쿵쿵 쿵쿵"
20160701	언니쓰	Shut Up (Feat. 유희열)	female	댄스	3	제시 (Jessi)	유건형	KBS한국방송	Shut Shut Up Shut Shut Up Shut Shut Up 배터리가 다 돼서 전화를 못 받았어 나중에 하려다가 잘까봐 안 했어 그게 말이 되니 내가 무슨 바보니 그 말을 믿으라고 한두번도 아니고 말을 하면 할수록 더 손해야 이 바보야 그냥 떠나 남자답게 말도 안 되는 말 그만해 좀 제발 끝났단 걸 왜 몰라 왜 이제 와서 이래 이젠 그 입 좀 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의 나는 가기 싫은데 친구들이 가재서 할 수 없이 갔다가 재미없게 있었어 그게 말이 되니 내가 무슨 바보니 그 말을 믿으라고 한두번도 아니고 말을 하면 할수록 더 손해야 이 바보야 그냥 떠나 남자답게 말도 안 되는 말 그만해 좀 제발 끝났단 걸 왜 몰라 왜 이제 와서 이래 이젠 그 입 좀 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의 더 이상 내 앞에서 엉겨 붙지마 내가 말 했잖아 이번이 마지막 가짜 가짜 진심 없는 가짜 thought I told you twice 저리 치워 니 낯짝 너는 너 나는 나 쳐다보지마 니 갈 길이나 가 머리 어깨 무릎 발 어디 가서 물어봐 나 같은 여자 있나 한번 찾아봐 왜 이제 와서 이래 이젠 그 입 좀 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의 Shut 에에에에에 Shut Up 이이이이이 Shut 나나나나나 Shut Up 어쩌고 저쩌고 너의
